Time,Agent1_x,Agent1_y,Agent2_x,Agent2_y,Agent3_x,Agent3_y,Agent4_x,Agent4_y,Agent5_x,Agent5_y,Agent6_x,Agent6_y,Agent7_x,Agent7_y,Agent8_x,Agent8_y
9.3,-3.84488432048352,-15.8395231060952,11.9590639154032,-8.26450958310864,9.43496364746227,8.738674060494,-7.33586103497285,12.4046617799411,-15.9950208921359,-2.89336698143926,0.537573228000324,-4.38260331994784,1.22604931669005,2.15116853937181,-4.65483293394764,-0.973286578306842
9.35,-3.44286866805097,-15.8563093893164,12.1872626655352,-7.87989557002712,9.17230159277502,9.13132737458234,-7.63270678474849,12.2893329287759,-15.8931408022132,-3.19168616614865,0.532640532169403,-4.35706334152939,1.32427840698505,2.16210679617367,-4.57293560873295,-0.929429536301222
9.4,-3.04366280698918,-15.8637855483327,12.4070889134669,-7.49091145062159,8.91924801885911,9.51278256380355,-7.92549639821678,12.165514543936,-15.7819129761916,-3.49156376062641,0.527345192405894,-4.33069542964448,1.42163065081887,2.17276712872721,-4.48384801289574,-0.886538072070071
9.45,-2.64690937520666,-15.8619079528927,12.6184510514744,-7.09776889548588,8.67435524855242,9.88194467247721,-8.21385007636904,12.0333165340034,-15.6613701173078,-3.79293246039667,0.521699590645764,-4.30349419410371,1.51817061311782,2.1831731607306,-4.38689700226061,-0.843138320104887
9.5,-2.25153535484977,-15.8506390321835,12.8212590127134,-6.70068219521187,8.43605336797044,10.2379989745013,-8.49741576855816,11.8928539454826,-15.5315509530857,-4.09562256706809,0.515716202246355,-4.27545445116818,1.6139582846696,2.19333470859327,-4.28160468416055,-0.797540097396304
9.55,-1.85660302325436,-15.8299474523483,13.0154246216781,-6.29986812604327,8.20271263474417,10.5803859833265,-8.77586915956388,11.7442468776067,-15.3925003134021,-4.39937606498987,0.509407592541885,-4.24657122278742,1.70904802104605,2.2032498366425,-4.16779186601106,-0.747893194442834
9.6,-1.46131895335089,-15.7998082578169,13.2008619857108,-5.8955458135311,7.9726981023106,10.9087739510957,-9.04891305569933,11.5876203987808,-15.2442691817831,-4.70386084480783,0.502786413121875,-4.21683973565766,1.80348778503975,2.21290690153608,-4.04568203639367,-0.692280915523059
9.65,-1.06503804745391,-15.7602029781616,13.3774879125745,-5.48793659436452,7.74441625917427,11.2230299230961,-9.31627627830103,11.4231044642059,-15.0869147213608,-5.00868469971806,0.495865397894234,-4.18625542017222,1.89731866608112,2.22228653633735,-3.91598674927409,-0.628850056936948
9.7,-0.66726324493228,-15.7111197027031,13.5452223406056,-5.07726387654736,7.51635371179717,11.5231902897895,-9.57771216894978,11.2508338341988,-14.9205002772501,-5.31340878199496,0.488657358990514,-4.15481390932662,1.9905746471579,2.23136353364805,-3.77995070951759,-0.55596582495601
9.75,-0.26764155634289,-15.6525531254725,13.7039887695836,-4.66532765197141,7.28710813433799,11.8094316498296,-9.83299680476479,11.0709479927075,-14.7450953573526,-5.61756026769101,0.481175182565883,-4.12251103763165,2.08328258799156,2.240108595808,-3.63933920711024,-0.472243452055562
